Run	disease_state
SRR5120902	IPF
SRR5120903	IPF
SRR5120904	IPF
SRR5120905	IPF
SRR5120906	IPF
SRR5120907	IPF
SRR5120908	IPF
SRR5120909	IPF
SRR5120910	IPF
SRR5120911	IPF
SRR5120912	IPF
SRR5120913	IPF
SRR5120914	IPF
SRR5120915	IPF
SRR5120916	IPF
SRR5120917	IPF
SRR5120918	IPF
SRR5120919	IPF
SRR5120920	IPF
SRR5120921	IPF
SRR5120922	Control
SRR5120923	Control
SRR5120924	Control
SRR5120925	Control
SRR5120926	Control
SRR5120927	Control
SRR5120928	Control
SRR5120929	Control
SRR5120930	Control
SRR5120931	Control
SRR5120932	Control
SRR5120933	Control
SRR5120934	Control
SRR5120935	Control
SRR5120936	Control
SRR5120937	Control
SRR5120938	Control
SRR5120939	Control
SRR5120940	Control
